Supplemental Table 2. Data included in the meta-analysis examining the effects of pH on fertilization rate.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
phylum,paper_link,study,taxonomic_group,common_name,latin_name,p_h_experimental,p_h_control,p_co2_experimental,p_co2_control,ave_fert_percent_p_h,error_percent_p_h,error_statistic,number_trials_p_h,number_individuals_eggs_trial,incubation_time,sperm_per_m_l,sperm_egg_ratio,number_females,number_males,secondary_stressor,what_is_2nd_stressor,sec_stressor_treatment,details,ave_fert_proport
Echinoderm,https://doi.org/10.1371/journal.pone.0082938,"Uthicke, 2013",non-urchin,crown-of-thorns starfish,Acanthaster planci,7.9,8.1,877,520,96.1,2.9,SD,4,50,10,NA,165843,5,4,no,NA,NA,NA,0.961
Echinoderm,https://doi.org/10.1371/journal.pone.0082938,"Uthicke, 2013",non-urchin,crown-of-thorns starfish,Acanthaster planci,7.67,8.1,1658,520,45.4,11.3,SD,7,50,10,NA,26801,5,4,no,NA,NA,NA,0.454
Echinoderm,https://doi.org/10.1371/journal.pone.0082938,"Uthicke, 2013",non-urchin,crown-of-thorns starfish,Acanthaster planci,7.9,8.1,877,520,65.2,4.4,SD,10,50,10,NA,22458,5,4,no,NA,NA,NA,0.652
Echinoderm,https://doi.org/10.1371/journal.pone.0082938,"Uthicke, 2013",non-urchin,crown-of-thorns starfish,Acanthaster planci,8.1,8.1,520,520,89.2,4.1,SD,10,50,10,NA,32169,5,4,no,NA,NA,NA,0.892
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,Purple Tipped Acropora,Acropora tenuis,8.17,8.17,655,655,89.7,3.1,SE,3,20,120,1000000,1250000,1,1,no,Elevated Temperature,NA,"Sole A. tenuis experiment, October 28",0.897
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,Purple Tipped Acropora,Acropora tenuis,8.06,8.17,421,655,93.2,2.4,SE,3,20,120,1000000,1250000,1,1,no,Elevated Temperature,NA,"Sole A. tenuis experiment, October 28",0.932
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,Purple Tipped Acropora,Acropora tenuis,8.18,8.18,663,663,94.2,4.1,SE,3,20,120,1000000,1250000,1,1,yes,Elevated Temperature,NA,"Sole A. tenuis experiment, October 28",0.942
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,Purple Tipped Acropora,Acropora tenuis,8.06,8.18,499,663,90.3,4.3,SE,3,20,120,1000000,1250000,1,1,yes,Elevated Temperature,NA,"Sole A. tenuis experiment, October 28",0.903
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,branching stony coral,Acropora millepora,8.17,8.17,655,655,88.6,3.4,SE,3,20,120,1000000,1250000,1,1,no,Elevated Temperature,NA,November 1 experiment,0.886
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,branching stony coral,Acropora millepora,8.06,8.17,421,655,76.6,3.9,SE,3,20,120,1000000,1250000,1,1,no,Elevated Temperature,NA,November 1 experiment,0.766
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,branching stony coral,Acropora millepora,8.18,8.18,663,663,86.2,1.9,SE,3,20,120,1000000,1250000,1,1,yes,Elevated Temperature,NA,November 1 experiment,0.862
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,branching stony coral,Acropora millepora,8.06,8.18,499,663,91.5,3.4,SE,3,20,120,1000000,1250000,1,1,yes,Elevated Temperature,NA,November 1 experiment,0.915
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,branching stony coral,Acropora millepora,8.17,8.17,655,655,86.2,3.4,SE,3,20,120,1000000,1250000,1,1,no,Elevated Temperature,NA,November 2 experiment,0.862
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,branching stony coral,Acropora millepora,8.06,8.17,421,655,88.6,1.7,SE,3,20,120,1000000,1250000,1,1,no,Elevated Temperature,NA,November 2 experiment,0.886
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,branching stony coral,Acropora millepora,8.18,8.18,663,663,99.7,1,SE,3,20,120,1000000,1250000,1,1,yes,Elevated Temperature,NA,November 2 experiment,0.997
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,branching stony coral,Acropora millepora,8.06,8.18,499,663,87.9,4.1,SE,3,20,120,1000000,1250000,1,1,yes,Elevated Temperature,NA,November 2 experiment,0.879
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,branching stony coral,Acropora millepora,8.12,8.12,759,759,96.4,2.9,SE,3,20,120,1000000,1250000,1,1,yes,Elevated Temperature,NA,November 22 experiment,0.964
Cnidarian,https://doi.org/10.3354/meps10077,"Chua, 2013",coral,branching stony coral,Acropora millepora,8.01,8.12,521,759,84.1,5.5,SE,3,20,120,1000000,1250000,1,1,yes,Elevated Temperature,NA,November 22 experiment,0.841
Echinoderm,https://doi.org/10.1093/icesjms/fsv171,"Graham, 2015",urchin,Sea urchin,Paracentrotus lividus,8.08,8.08,380,380,87.7,1.2,SE,6,500,120,250000,5000,3,3,no,Hypoxia,NA,NA,0.877
Echinoderm,https://doi.org/10.1093/icesjms/fsv171,"Graham, 2015",urchin,Sea urchin,Paracentrotus lividus,7.94,8.08,750,380,80.8,0.9,SE,6,500,120,250000,5000,3,3,no,Hypoxia,NA,NA,0.808
Echinoderm,https://doi.org/10.1093/icesjms/fsv171,"Graham, 2015",urchin,Sea urchin,Paracentrotus lividus,8.06,8.06,380,380,24.6,3.3,SE,6,500,120,250000,5000,3,3,yes,Hypoxia,NA,NA,0.246
Echinoderm,https://doi.org/10.1093/icesjms/fsv171,"Graham, 2015",urchin,Sea urchin,Paracentrotus lividus,7.95,8.06,750,380,2.7,0.9,SE,6,500,120,250000,5000,3,3,yes,Hypoxia,NA,NA,0.027
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,8.19,8.19,375,375,55.4,2.4,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.554
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,8.01,8.19,600,375,45.1,2,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.451
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,7.93,8.19,750,375,44.1,0.8,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.441
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,7.82,8.19,1000,375,39.4,4.2,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.394
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,8.2,8.2,375,375,68.2,4,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.682
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,8.02,8.2,600,375,56.1,3.5,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.561
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,7.94,8.2,750,375,53.2,2.2,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.532
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,7.83,8.2,1000,375,49.3,1.2,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.493
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,8.2,8.2,375,375,90.2,0.8,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.902
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,8.03,8.2,600,375,73.9,2.4,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.739
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,7.95,8.2,750,375,66.3,0.7,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.663
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,7.84,8.2,1000,375,60.4,1.5,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.604
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,8.21,8.21,375,375,74.6,1.3,SE,3,30,120,50000000,1000000,10,10,yes,Elevated Temperature,NA,NA,0.746
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,8.04,8.21,600,375,61,1.7,SE,3,30,120,50000000,1000000,10,10,yes,Elevated Temperature,NA,NA,0.61
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,7.96,8.21,750,375,57.3,1.5,SE,3,30,120,50000000,1000000,10,10,yes,Elevated Temperature,NA,NA,0.573
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Sydney rock oyster,Saccostrea glomerata,7.85,8.21,1000,375,49.6,1.5,SE,3,30,120,50000000,1000000,10,10,yes,Elevated Temperature,NA,NA,0.496
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,8.19,8.19,375,375,86.7,3.2,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.867
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,8.01,8.19,600,375,72.7,2.5,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.727
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,7.93,8.19,750,375,68.9,0.5,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.689
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,7.82,8.19,1000,375,66.8,1.2,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.668
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,8.2,8.2,375,375,84.8,2,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.848
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,8.02,8.2,600,375,71.4,1.7,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.714
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,7.94,8.2,750,375,63.5,3.4,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.635
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,7.83,8.2,1000,375,62.1,4.2,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.621
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,8.2,8.2,375,375,92.6,0.5,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.926
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,8.03,8.2,600,375,75.4,0.7,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.754
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,7.95,8.2,750,375,65.5,3.4,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.655
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,7.84,8.2,1000,375,58.8,2.7,SE,3,30,120,50000000,1000000,10,10,no,Elevated Temperature,NA,NA,0.588
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,8.21,8.21,375,375,75.4,2,SE,3,30,120,50000000,1000000,10,10,yes,Elevated Temperature,NA,NA,0.754
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,8.04,8.21,600,375,65.3,2.9,SE,3,30,120,50000000,1000000,10,10,yes,Elevated Temperature,NA,NA,0.653
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,7.96,8.21,750,375,63.2,1.9,SE,3,30,120,50000000,1000000,10,10,yes,Elevated Temperature,NA,NA,0.632
Mollusc,https://doi.org/10.1007/s00227-010-1508-3,"Parker, 2010",oyster,Pacific oyster,Crassostrea gigas,7.85,8.21,1000,375,61.7,3.4,SE,3,30,120,50000000,1000000,10,10,yes,Elevated Temperature,NA,NA,0.617
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,7,8.01,5806,527.6,11,1.7,SE,4,60,420,500,50,2,1,no,NA,NA,NA,0.11
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,7.3,8.01,2886.3,527.6,54.1,0.8,SE,4,60,420,500,50,2,1,no,NA,NA,NA,0.541
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,7.7,8.01,1121.6,527.6,67.1,4.2,SE,4,60,420,500,50,2,1,no,NA,NA,NA,0.671
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,8.01,8.01,527.6,527.6,70.8,3.7,SE,4,60,420,500,50,2,1,no,NA,NA,NA,0.708
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,7,8.01,5806,527.6,75.9,5.9,SE,4,60,420,7500,750,2,1,no,NA,NA,NA,0.759
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,7.3,8.01,2886.3,527.6,73.4,2,SE,4,60,420,7500,750,2,1,no,NA,NA,NA,0.734
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,7.7,8.01,1121.6,527.6,84.1,4.5,SE,4,60,420,7500,750,2,1,no,NA,NA,NA,0.841
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,8.01,8.01,527.6,527.6,87.3,4.2,SE,4,60,420,7500,750,2,1,no,NA,NA,NA,0.873
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,7,8.01,5806,527.6,49.9,13.6,SE,4,60,420,15000,1500,2,1,no,NA,NA,NA,0.499
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,7.3,8.01,2886.3,527.6,54.7,0.8,SE,4,60,420,15000,1500,2,1,no,NA,NA,NA,0.547
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,7.7,8.01,1121.6,527.6,66.6,4.5,SE,4,60,420,15000,1500,2,1,no,NA,NA,NA,0.666
Echinoderm,https://doi.org/10.1007/s00227-010-1529-y,"Ericson, 2010",urchin,Sea urchin,Sterechinus neumayari,8.01,8.01,527.6,527.6,72.2,5.4,SE,4,60,420,15000,1500,2,1,no,NA,NA,NA,0.722
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,367,367,91.7,2.8,SE,3,50,120,4500,1500,4,4,no,Elevated Temperature,22,NA,0.917
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,367,367,92.5,3.9,SE,3,50,120,1500,500,4,4,no,Elevated Temperature,22,NA,0.925
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,367,367,81,6.3,SE,3,50,120,300,100,4,4,no,Elevated Temperature,22,NA,0.81
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,367,367,35.6,8.7,SE,3,50,120,30,10,4,4,no,Elevated Temperature,22,NA,0.356
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1105,367,93.6,2,SE,3,50,120,4500,1500,4,4,no,Elevated Temperature,22,NA,0.936
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1105,367,93.2,1.2,SE,3,50,120,1500,500,4,4,no,Elevated Temperature,22,NA,0.932
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1105,367,79,2.4,SE,3,50,120,300,100,4,4,no,Elevated Temperature,22,NA,0.79
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1105,367,30.1,4.3,SE,3,50,120,30,10,4,4,no,Elevated Temperature,22,NA,0.301
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1823,367,93.2,2.4,SE,3,50,120,4500,1500,4,4,no,Elevated Temperature,22,NA,0.932
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1823,367,95.2,1.2,SE,3,50,120,1500,500,4,4,no,Elevated Temperature,22,NA,0.952
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1823,367,84.6,5.9,SE,3,50,120,300,100,4,4,no,Elevated Temperature,22,NA,0.846
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1823,367,24.2,3.6,SE,3,50,120,30,10,4,4,no,Elevated Temperature,22,NA,0.242
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,370,367,94.1,0.4,SE,3,50,120,4500,1500,4,4,yes,Elevated Temperature,24,NA,0.941
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,370,367,91.7,2.4,SE,3,50,120,1500,500,4,4,yes,Elevated Temperature,24,NA,0.917
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,370,367,78.7,7.1,SE,3,50,120,300,100,4,4,yes,Elevated Temperature,24,NA,0.787
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,370,367,26.1,7.9,SE,3,50,120,30,10,4,4,yes,Elevated Temperature,24,NA,0.261
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1124,367,90.5,5.1,SE,3,50,120,4500,1500,4,4,yes,Elevated Temperature,24,NA,0.905
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1124,367,91.3,2.8,SE,3,50,120,1500,500,4,4,yes,Elevated Temperature,24,NA,0.913
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1124,367,79.4,5.9,SE,3,50,120,300,100,4,4,yes,Elevated Temperature,24,NA,0.794
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1124,367,19.4,1.2,SE,3,50,120,30,10,4,4,yes,Elevated Temperature,24,NA,0.194
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1858,367,92.1,2.8,SE,3,50,120,4500,1500,4,4,yes,Elevated Temperature,24,NA,0.921
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1858,367,91.3,2.8,SE,3,50,120,1500,500,4,4,yes,Elevated Temperature,24,NA,0.913
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1858,367,75.1,9.5,SE,3,50,120,300,100,4,4,yes,Elevated Temperature,24,NA,0.751
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1858,367,24.9,7.9,SE,3,50,120,30,10,4,4,yes,Elevated Temperature,24,NA,0.249
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,373,367,94.3,1.7,SE,3,50,120,4500,1500,4,4,yes,Elevated Temperature,26,NA,0.943
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,373,367,94.3,1.1,SE,3,50,120,1500,500,4,4,yes,Elevated Temperature,26,NA,0.943
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,373,367,81.8,4,SE,3,50,120,300,100,4,4,yes,Elevated Temperature,26,NA,0.818
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,8.17,8.17,373,367,27.8,8.5,SE,3,50,120,30,10,4,4,yes,Elevated Temperature,26,NA,0.278
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1142,367,92.6,2.3,SE,3,50,120,4500,1500,4,4,yes,Elevated Temperature,26,NA,0.926
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1142,367,92.6,2.8,SE,3,50,120,1500,500,4,4,yes,Elevated Temperature,26,NA,0.926
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1142,367,73.3,8,SE,3,50,120,300,100,4,4,yes,Elevated Temperature,26,NA,0.733
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.8,8.17,1142,367,18.2,5.7,SE,3,50,120,30,10,4,4,yes,Elevated Temperature,26,NA,0.182
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1892,367,95.5,1.7,SE,3,50,120,4500,1500,4,4,yes,Elevated Temperature,26,NA,0.955
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1892,367,92.6,1.7,SE,3,50,120,1500,500,4,4,yes,Elevated Temperature,26,NA,0.926
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1892,367,81.8,5.7,SE,3,50,120,300,100,4,4,yes,Elevated Temperature,26,NA,0.818
Echinoderm,https://doi.org/10.1016/j.marenvres.2009.10.014,"Byrne, 2010",urchin,Sea urchin,Heliocidaris erythrogramma,7.6,8.17,1892,367,21.6,7.4,SE,3,50,120,30,10,4,4,yes,Elevated Temperature,26,NA,0.216
Mollusc,https://doi.org/10.3354/meps11436,"Bylenga, 2015",clam,Antarctic bivalve,Laternula elliptica,7.97,7.97,350.1,350.1,43.1,2.1,SE,6,50,240,30000000,42857,22,10,no,Elevated Temperature,-1.6,NA,0.431
Mollusc,https://doi.org/10.3354/meps11436,"Bylenga, 2015",clam,Antarctic bivalve,Laternula elliptica,7.79,7.97,554.6,350.1,52.6,0.8,SE,6,50,360,30000000,42857,22,10,no,Elevated Temperature,-1.6,NA,0.526
Mollusc,https://doi.org/10.3354/meps11436,"Bylenga, 2015",clam,Antarctic bivalve,Laternula elliptica,7.63,7.97,823.3,350.1,51.3,1.1,SE,6,50,1440,30000000,42857,22,10,no,Elevated Temperature,-1.6,NA,0.513
Mollusc,https://doi.org/10.3354/meps11436,"Bylenga, 2015",clam,Antarctic bivalve,Laternula elliptica,7.97,7.97,367.2,367.2,61.7,2.1,SE,6,50,2880,30000000,42857,22,10,yes,Elevated Temperature,-0.5,NA,0.617
Mollusc,https://doi.org/10.3354/meps11436,"Bylenga, 2015",clam,Antarctic bivalve,Laternula elliptica,7.79,7.97,569,367.2,57,3,SE,6,50,240,30000000,42857,22,10,yes,Elevated Temperature,-0.5,NA,0.57
Mollusc,https://doi.org/10.3354/meps11436,"Bylenga, 2015",clam,Antarctic bivalve,Laternula elliptica,7.63,7.97,835.6,367.2,62.3,2.5,SE,6,50,360,30000000,42857,22,10,yes,Elevated Temperature,-0.5,NA,0.623
Mollusc,https://doi.org/10.3354/meps11436,"Bylenga, 2015",clam,Antarctic bivalve,Laternula elliptica,7.97,7.97,383.6,383.6,68.2,1.3,SE,6,50,1440,30000000,42857,22,10,yes,Elevated Temperature,0.4,NA,0.682
Mollusc,https://doi.org/10.3354/meps11436,"Bylenga, 2015",clam,Antarctic bivalve,Laternula elliptica,7.63,7.97,893,383.6,61.2,2.3,SE,6,50,2880,30000000,42857,22,10,yes,Elevated Temperature,0.4,NA,0.612
